176,Local Education Agency,b'Rufous-bellied antwren' b'Tiger Cat' SCHOOL DISTRICT,354 b'Viperfish' NORTH AVE
177,Local Education Agency,"b'Rufous-bellied antwren' b""Verraux's Sifaka"" COUNTY SCHOOLS",588 b'Ballan wrasse' WAY
178,Local Education Agency,b'Rufous-bellied antwren' b'Hartebeest' COUNTY SCHOOLS,529 b'Kelp perch' STREET
179,Local Education Agency,b'Rufous-bellied antwren' b'Black Tail Prairie Dog' DISTRICT,931 b'Cuskfish' SOUTH AVE
180,Local Education Agency,b'Rufous-bellied antwren' b'Southern Impala' SD,855 b'Thornyhead' WAY
181,Local Education Agency,b'Rufous-bellied antwren' b'Northern Elelphant Seal' SCHOOL DISTRICT,866 b'Flathead' SOUTH AVE
182,Local Education Agency,b'Rufous-bellied antwren' b'Killer Whale' SD,485 b'Glowlight danio' ROAD
183,Local Education Agency,b'Rufous-bellied antwren' b'Virginia Opossom' PUBLIC SHCOOLS,348 b'Wobbegong' ROAD
184,Local Education Agency,b'Rufous-bellied antwren' b'Bengal Tiger' SCHOOLS,486 b'Great white shark' SOUTH AVE
185,Local Education Agency,b'Rufous-bellied antwren' b'Gato Huina' SD,593 b'Southern sandfish' AVE
186,Local Education Agency,b'Rufous-bellied antwren' b'Grizzly' SCHOOL DISTRICT,532 b'Sergeant major' ROAD
187,Local Education Agency,b'Rufous-bellied antwren' b'Olingo' SD,1124 b'Bristlenose catfish' SOUTH AVE
188,Local Education Agency,b'Gull-billed tern' b'Tiger Cat' SCHOOLS,1 b'Ropefish' NORTH AVE
189,Local Education Agency,"b'Gull-billed tern' b""Verraux's Sifaka"" DISTRICT",508 b'Flabby whalefish' ROAD
190,Local Education Agency,b'Gull-billed tern' b'Hartebeest' PUBLIC SHCOOLS,1262 b'Sea bream' AVE
191,Local Education Agency,b'Gull-billed tern' b'Black Tail Prairie Dog' DISTRICT,572 b'Menhaden' WAY
192,Local Education Agency,b'Gull-billed tern' b'Southern Impala' PUBLIC SHCOOLS,976 b'Lagena' ROAD
