row number #1,row number #2,row number #3,row number #4,date #1,date #2,date #3,date # 4,date # 5,date # 6,date # 7,day of week #1,day of week #2,day of week #3,short string #1,short string #2,short string #3,short string #4,short string #5,short string #6,gender #1,gender #2,gender #3,row number #1 2,row number #2 2,row number #3 2,row number #4 2,date #1 2,date #2 2,date #3 2,date # 4 2,date # 5 2,date # 6 2,date # 7 2,day of week #1 2,day of week #2 2,day of week #3 2,short string #1 2,short string #2 2,short string #3 2,short string #4 2,short string #5 2,short string #6 2,gender #1 2,gender #2 2,gender #3 2,row number #1 3,row number #2 3,row number #3 3,row number #4 3,date #1 3,date #2 3,date #3 3,date # 4 3,date # 5 3,date # 6 3,date # 7 3,day of week #1 3,day of week #2 3,day of week #3 3,short string #1 3,short string #2 3,short string #3 3,short string #4 3,short string #5 3,short string #6 3,gender #1 3,gender #2 3,gender #3 3
1,001,100001,Record # :001,1/1/13,11/12/13,11/12/13,1-1-13,11-12-13,11-12-13,2013-01-01,Tuesday,Tue,Tuesday,AAAA,AAAA,aaaa,aaaa,AAAA,,m,m,m,1,001,100001,Record # :001,1/1/13,11/12/13,11/12/13,1-1-13,11-12-13,11-12-13,2013-01-01,Tuesday,Tue,Tuesday,AAAA,AAAA,aaaa,aaaa,AAAA,,m,m,m,1,001,100001,Record # :001,1/1/13,11/12/13,11/12/13,1-1-13,11-12-13,11-12-13,2013-01-01,Tuesday,Tue,Tuesday,AAAA,AAAA,aaaa,aaaa,AAAA,,m,m,m
2,002,100002,Record # :002,1/2/13,11/12/13,11/12/13,1-2-13,11-12-13,11-12-13,2013-01-02,Wednesday,Wed,Wednesday,AAAA,BBBB,aaaa,bbbb,AAAA,,f,f,f,2,002,100002,Record # :002,1/2/13,11/12/13,11/12/13,1-2-13,11-12-13,11-12-13,2013-01-02,Wednesday,Wed,Wednesday,AAAA,BBBB,aaaa,bbbb,AAAA,,f,f,f,2,002,100002,Record # :002,1/2/13,11/12/13,11/12/13,1-2-13,11-12-13,11-12-13,2013-01-02,Wednesday,Wed,Wednesday,AAAA,BBBB,aaaa,bbbb,AAAA,,f,f,f
3,003,100003,Record # :003,1/3/13,11/12/13,11/12/13,1-3-13,11-12-13,11-12-13,2013-01-03,Thursday,Thu,Thursday,AAAA,CCCC,aaaa,cccc,AAAA,,m,b,b,3,003,100003,Record # :003,1/3/13,11/12/13,11/12/13,1-3-13,11-12-13,11-12-13,2013-01-03,Thursday,Thu,Thursday,AAAA,CCCC,aaaa,cccc,AAAA,,m,b,b,3,003,100003,Record # :003,1/3/13,11/12/13,11/12/13,1-3-13,11-12-13,11-12-13,2013-01-03,Thursday,Thu,Thursday,AAAA,CCCC,aaaa,cccc,AAAA,,m,b,b
4,004,100004,Record # :004,1/4/13,11/12/13,11/12/13,1-4-13,11-12-13,11-12-13,2013-01-04,Friday,Fri,Friday,AAAA,DDDD,aaaa,dddd,AAAA,,f,g,g,4,004,100004,Record # :004,1/4/13,11/12/13,11/12/13,1-4-13,11-12-13,11-12-13,2013-01-04,Friday,Fri,Friday,AAAA,DDDD,aaaa,dddd,AAAA,,f,g,g,4,004,100004,Record # :004,1/4/13,11/12/13,11/12/13,1-4-13,11-12-13,11-12-13,2013-01-04,Friday,Fri,Friday,AAAA,DDDD,aaaa,dddd,AAAA,,f,g,g
5,005,100005,Record # :005,1/5/13,11/12/13,11/12/13,1-5-13,11-12-13,11-12-13,2013-01-05,Saturday,Sat,Saturday,AAAA,EEEE,aaaa,eeee,AAAA,,m,m,male,5,005,100005,Record # :005,1/5/13,11/12/13,11/12/13,1-5-13,11-12-13,11-12-13,2013-01-05,Saturday,Sat,Saturday,AAAA,EEEE,aaaa,eeee,AAAA,,m,m,male,5,005,100005,Record # :005,1/5/13,11/12/13,11/12/13,1-5-13,11-12-13,11-12-13,2013-01-05,Saturday,Sat,Saturday,AAAA,EEEE,aaaa,eeee,AAAA,,m,m,male
6,006,100006,Record # :006,1/6/13,11/12/13,11/12/13,1-6-13,11-12-13,11-12-13,2013-01-06,Sunday,Sun,Sunday,AAAA,FFFF,aaaa,ffff,AAAA,,f,f,female,6,006,100006,Record # :006,1/6/13,11/12/13,11/12/13,1-6-13,11-12-13,11-12-13,2013-01-06,Sunday,Sun,Sunday,AAAA,FFFF,aaaa,ffff,AAAA,,f,f,female,6,006,100006,Record # :006,1/6/13,11/12/13,11/12/13,1-6-13,11-12-13,11-12-13,2013-01-06,Sunday,Sun,Sunday,AAAA,FFFF,aaaa,ffff,AAAA,,f,f,female
7,007,100007,Record # :007,1/7/13,11/12/13,11/12/13,1-7-13,11-12-13,11-12-13,2013-01-07,Monday,Mon,Monday,AAAA,GGGG,aaaa,gggg,AAAA,,m,b,boy,7,007,100007,Record # :007,1/7/13,11/12/13,11/12/13,1-7-13,11-12-13,11-12-13,2013-01-07,Monday,Mon,Monday,AAAA,GGGG,aaaa,gggg,AAAA,,m,b,boy,7,007,100007,Record # :007,1/7/13,11/12/13,11/12/13,1-7-13,11-12-13,11-12-13,2013-01-07,Monday,Mon,Monday,AAAA,GGGG,aaaa,gggg,AAAA,,m,b,boy
8,008,100008,Record # :008,1/8/13,11/12/13,11/12/13,1-8-13,11-12-13,11-12-13,2013-01-08,Tuesday,Tue,Tuesday,AAAA,HHHH,aaaa,hhhh,AAAA,,f,g,girl,8,008,100008,Record # :008,1/8/13,11/12/13,11/12/13,1-8-13,11-12-13,11-12-13,2013-01-08,Tuesday,Tue,Tuesday,AAAA,HHHH,aaaa,hhhh,AAAA,,f,g,girl,8,008,100008,Record # :008,1/8/13,11/12/13,11/12/13,1-8-13,11-12-13,11-12-13,2013-01-08,Tuesday,Tue,Tuesday,AAAA,HHHH,aaaa,hhhh,AAAA,,f,g,girl
9,009,100009,Record # :009,1/9/13,11/12/13,11/12/13,1-9-13,11-12-13,not a date,2013-01-09,Wednesday,Wed,Wednesday,AAAA,IIII,aaaa,iiii,AAAA,,m,m,man,9,009,100009,Record # :009,1/9/13,11/12/13,11/12/13,1-9-13,11-12-13,not a date,2013-01-09,Wednesday,Wed,Wednesday,AAAA,IIII,aaaa,iiii,AAAA,,m,m,man,9,009,100009,Record # :009,1/9/13,11/12/13,11/12/13,1-9-13,11-12-13,not a date,2013-01-09,Wednesday,Wed,Wednesday,AAAA,IIII,aaaa,iiii,AAAA,,m,m,man
10,010,100010,Record # :010,1/10/13,11/12/13,not a date,1-10-13,11-12-13,not a date,2013-01-10,Thursday,Thu,BadDay,AAAA,JJJJ,aaaa,jjjj,AAAA,,f,f,friend,10,010,100010,Record # :010,1/10/13,11/12/13,not a date,1-10-13,11-12-13,not a date,2013-01-10,Thursday,Thu,BadDay,AAAA,JJJJ,aaaa,jjjj,AAAA,,f,f,friend,10,010,100010,Record # :010,1/10/13,11/12/13,not a date,1-10-13,11-12-13,not a date,2013-01-10,Thursday,Thu,BadDay,AAAA,JJJJ,aaaa,jjjj,AAAA,,f,f,friend
