column_map_key,phase,source_table,source_column,target_table,target_column,transformation_rule,stored_proc_name,stored_proc_created_date,created_date
,1,LZ_JSON,identification.guid,INT_SBAC_ASMT,guid_asmt,clean,,,
,1,LZ_JSON,claims.claim_1.name,INT_SBAC_ASMT,name_claim_1,clean,,,
,1,LZ_JSON,claims.claim_2.name,INT_SBAC_ASMT,name_claim_2,clean,,,
,1,LZ_JSON,claims.claim_3.name,INT_SBAC_ASMT,name_claim_3,clean,,,
,1,LZ_JSON,claims.claim_4.name,INT_SBAC_ASMT,name_claim_4,clean,,,
,1,LZ_JSON,performance_levels.level_1.name,INT_SBAC_ASMT,name_perf_lvl_1,clean,,,
,1,LZ_JSON,performance_levels.level_2.name,INT_SBAC_ASMT,name_perf_lvl_2,clean,,,
,1,LZ_JSON,performance_levels.level_3.name,INT_SBAC_ASMT,name_perf_lvl_3,clean,,,
,1,LZ_JSON,performance_levels.level_4.name,INT_SBAC_ASMT,name_perf_lvl_4,clean,,,
,1,LZ_JSON,performance_levels.level_5.name,INT_SBAC_ASMT,name_perf_lvl_5,clean,,,
,1,LZ_JSON,identification.period,INT_SBAC_ASMT,period,clean,,,
,1,LZ_JSON,claims.claim_1.max_score,INT_SBAC_ASMT,score_claim_1_max,clean,,,
,1,LZ_JSON,claims.claim_1.min_score,INT_SBAC_ASMT,score_claim_1_min,clean,,,
,1,LZ_JSON,claims.claim_1.weight,INT_SBAC_ASMT,score_claim_1_weight,calcWeight,,,
,1,LZ_JSON,claims.claim_2.max_score,INT_SBAC_ASMT,score_claim_2_max,clean,,,
,1,LZ_JSON,claims.claim_2.min_score,INT_SBAC_ASMT,score_claim_2_min,clean,,,
,1,LZ_JSON,claims.claim_2.weight,INT_SBAC_ASMT,score_claim_2_weight,calcWeight,,,
,1,LZ_JSON,claims.claim_3.max_score,INT_SBAC_ASMT,score_claim_3_max,clean,,,
,1,LZ_JSON,claims.claim_3.min_score,INT_SBAC_ASMT,score_claim_3_min,clean,,,
,1,LZ_JSON,claims.claim_3.weight,INT_SBAC_ASMT,score_claim_3_weight,calcWeight,,,
,1,LZ_JSON,claims.claim_4.max_score,INT_SBAC_ASMT,score_claim_4_max,clean,,,
,1,LZ_JSON,claims.claim_4.min_score,INT_SBAC_ASMT,score_claim_4_min,clean,,,
,1,LZ_JSON,claims.claim_4.weight,INT_SBAC_ASMT,score_claim_4_weight,calcWeight,,,
,1,LZ_JSON,performance_levels.level_2.cut_point,INT_SBAC_ASMT,score_cut_point_1,clean,,,
,1,LZ_JSON,performance_levels.level_3.cut_point,INT_SBAC_ASMT,score_cut_point_2,clean,,,
,1,LZ_JSON,performance_levels.level_4.cut_point,INT_SBAC_ASMT,score_cut_point_3,clean,,,
